company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
110,170,22,500.0,0.05,2023-03-06,1,1,210.0
1453,126,21,475.0,0.08,2023-03-06,1,56,525.0
57,76,26,400.0,0.25791719543147207,2023-03-06,5,36,16.0
1710,117,7,120.0,0.25791719543147207,2023-03-06,15,22,631.0
943,157,24,340.0,0.15,2023-03-03,15,5,788.0
531,148,30,230.0,0.7,2023-03-03,1,56,317.0
909,170,24,100.0,0.25791719543147207,2023-03-03,15,1,59.0
1715,148,20,63.0,0.25791719543147207,2023-03-03,0,56,152.0
42,148,10,30.0,0.25791719543147207,2023-03-03,1,56,6400.0
20,159,15,80.0,0.25791719543147207,2023-03-03,1,56,458.0
790,24,22,80.0,0.25791719543147207,2023-03-03,9,57,1200.0
1870,148,28,177.0,0.03,2023-03-02,1,56,148.0
989,148,7,79.0,0.25791719543147207,2023-03-02,8,56,461.0
66,21,12,50.0,0.25791719543147207,2023-03-02,0,5,156.5
587,143,11,30.0,0.11,2023-03-02,4,22,13.0
258,148,21,12.0,0.1,2023-03-02,0,56,20.0
594,17,26,80.0,0.25791719543147207,2023-03-02,0,22,12900.0
844,99,2,80.0,1.0,2023-03-02,0,56,156.5
1665,23,18,80.0,0.25791719543147207,2023-03-02,0,56,156.5
1621,40,22,500.0,0.04,2023-03-01,1,56,748.0
1886,157,12,355.0,0.06,2023-03-01,14,5,2100.0
380,148,15,300.0,0.25791719543147207,2023-03-01,8,56,482.0
1778,148,30,209.0,0.08,2023-03-01,14,56,5500.0
1191,134,13,200.0,0.2,2023-03-01,8,16,495.0
1830,148,29,200.0,0.25791719543147207,2023-03-01,6,56,102.0
1485,148,31,100.0,0.14,2023-03-01,1,56,839.0
1276,159,3,80.0,0.5,2023-03-01,4,56,70.0
522,12,2,200.0,0.25791719543147207,2023-02-28,1,56,2.0
550,148,2,80.0,0.08,2023-02-28,1,56,557.0
437,17,7,80.0,1.0,2023-02-28,15,22,156.5
1013,99,10,80.0,0.09,2023-02-28,1,56,485.0
1487,118,30,300.0,0.25791719543147207,2023-02-27,1,17,126.0
308,148,15,285.0,0.15,2023-02-27,6,56,462.0
70,40,10,130.0,0.25,2023-02-27,15,56,283.0
1177,50,6,75.0,0.02,2023-02-27,1,57,3000.0
1158,159,27,70.0,0.07,2023-02-27,10,56,489.0
1539,148,28,19.0,0.25,2023-02-27,5,56,126.0
176,173,28,40.0,0.25791719543147207,2023-02-26,15,25,401.0
1685,148,2,200.0,0.1,2023-02-25,1,56,12900.0
542,169,22,8500.0,0.08,2023-02-24,1,50,663.0
1376,17,22,300.0,0.25791719543147207,2023-02-24,14,22,1300.0
1731,148,30,220.0,0.25791719543147207,2023-02-24,0,56,575.0
998,148,29,59.0,0.25791719543147207,2023-02-24,0,56,325.0
508,148,12,40.0,0.25791719543147207,2023-02-24,15,56,465.0
956,148,15,26.0,0.25791719543147207,2023-02-24,1,56,132.0
1516,130,10,24.0,0.25791719543147207,2023-02-24,7,56,263.0
1260,148,26,80.0,0.02,2023-02-24,0,56,153.0
1011,4,15,200.0,0.1,2023-02-23,0,56,156.5
1131,18,20,150.0,0.32,2023-02-23,7,17,442.0
1604,170,26,69.0,0.06,2023-02-23,15,1,156.5
504,99,30,40.0,0.25791719543147207,2023-02-23,1,56,400.0
1534,148,16,40.0,0.25791719543147207,2023-02-23,5,56,76.0
443,179,3,80.0,0.2,2023-02-23,7,56,607.0
1015,126,3,80.0,0.15,2023-02-23,5,56,61.0
1748,184,15,80.0,0.13,2023-02-23,15,56,156.5
1561,98,21,200.0,0.12,2023-02-22,15,55,156.5
1582,151,29,186.0,0.25791719543147207,2023-02-22,1,56,279.0
92,167,15,80.0,0.25791719543147207,2023-02-22,6,56,155.0
780,170,3,80.0,0.11,2023-02-22,6,1,279.0
832,24,15,80.0,0.57,2023-02-22,0,56,194.0
942,138,30,80.0,1.0,2023-02-22,3,56,57.0
1257,17,3,100.0,0.2,2023-02-21,15,22,451.0
413,175,21,85.0,0.25791719543147207,2023-02-21,15,27,26.0
548,148,10,50.0,0.25791719543147207,2023-02-21,7,56,406.0
202,90,30,17.0,0.25791719543147207,2023-02-21,9,36,156.5
409,134,20,80.0,0.25791719543147207,2023-02-21,1,16,61.0
691,161,12,80.0,0.25791719543147207,2023-02-21,6,48,214.0
1203,99,24,80.0,0.25791719543147207,2023-02-21,6,56,121.0
1839,18,26,80.0,0.25791719543147207,2023-02-21,1,17,467.0
1060,17,22,200.0,0.3,2023-02-20,5,22,79.0
581,126,3,30.0,0.05,2023-02-20,8,56,1000.0
860,170,22,8.0,0.28,2023-02-20,3,1,10.0
579,39,12,80.0,1.0,2023-02-20,4,56,9.0
705,173,14,100.0,0.25791719543147207,2023-02-19,1,25,4200.0
1594,163,2,300.0,0.25791719543147207,2023-02-17,1,9,12600.0
553,148,2,129.0,0.25791719543147207,2023-02-17,0,56,290.0
323,148,10,100.0,0.33,2023-02-17,6,56,302.0
471,139,22,80.0,0.25791719543147207,2023-02-17,1,56,105.0
1342,148,3,80.0,0.25791719543147207,2023-02-17,15,56,156.5
481,148,27,680.0,0.1,2023-02-16,1,56,536.0
1228,148,22,400.0,0.2,2023-02-16,0,56,62.0
1610,148,26,230.0,0.07,2023-02-16,1,56,356.0
1469,159,22,85.0,0.03,2023-02-16,1,56,152.0
396,6,18,80.0,0.25791719543147207,2023-02-16,8,56,1100.0
1803,173,20,370.0,0.06,2023-02-15,1,25,58.0
1420,99,27,221.0,0.08,2023-02-15,10,56,1100.0
1080,157,10,210.0,0.09,2023-02-15,7,5,720.0
826,134,21,208.0,0.25791719543147207,2023-02-15,6,16,22.0
474,126,16,200.0,0.11,2023-02-15,1,56,491.0
1506,126,29,100.0,0.04,2023-02-15,1,56,429.0
161,126,10,28.0,0.25791719543147207,2023-02-15,9,56,435.0
478,148,24,80.0,0.25791719543147207,2023-02-15,5,56,180.0
1023,170,12,80.0,0.2,2023-02-15,4,1,86.0
1042,148,20,80.0,0.14,2023-02-15,1,56,1100.0
1115,148,29,80.0,0.25791719543147207,2023-02-15,6,56,214.0
1331,99,21,80.0,0.25791719543147207,2023-02-15,5,56,63.0
1572,23,22,80.0,0.15,2023-02-15,6,56,148.0
1749,24,15,80.0,0.14,2023-02-15,1,56,185.0
383,2,26,371.0,0.31,2023-02-14,0,56,156.5
706,148,13,80.0,0.08,2023-02-14,5,56,11.0
1223,17,15,80.0,0.7,2023-02-14,5,22,40.0
1695,148,7,80.0,0.1,2023-02-14,1,56,311.0
1682,148,22,1500.0,0.17,2023-02-13,1,57,614.0
521,126,22,141.0,0.25,2023-02-13,7,56,212.0
503,126,20,100.0,1.0,2023-02-13,15,56,156.5
1221,157,26,94.0,0.25791719543147207,2023-02-13,6,5,225.0
1888,24,2,85.0,0.07,2023-02-13,0,56,30.0
378,148,15,54.0,0.25791719543147207,2023-02-13,9,56,719.0
